title,categoryName,address,city,postalCode,state,phone,website,totalScore,reviewsCount,url,placeId,description,openingHours,emails,engineers,googleAds,onlineBooking,searchString,notes
Dunsmore Gas & Heating (Demo),Plumber,"32 Mill Lane, London",London,SE1 4LS,Greater London,07700 900922,https://www.dunsmore-gas--heating.example.com,4.3,316,https://www.google.com/maps/place/?q=place_id:DEMO0000,DEMOPLACE0000,"Emergency plumbers on call 24 hours a day, 7 days a week. Same-day response across London.","[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",,8,no,no,plumber in London,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Lowfield Plumbing Services (Demo),Heating contractor,"92 Bridge Street, London",London,N4 9ZD,Greater London,020 7946 0002,https://www.lowfield-plumbing-services.example.com,4.6,426,https://www.google.com/maps/place/?q=place_id:DEMO0001,DEMOPLACE0001,"Drainage, plumbing and heating specialists serving London and the surrounding area. Open 24 hours for emergencies.","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",info@lowfield-plumbing-services.example.com,2,no,no,heating engineer in London,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Granville Gas & Heating (Demo),Boiler supplier,"128 High Street, Manchester",Manchester,M20 8LS,Greater Manchester,0161 496 0001,https://www.granville-gas--heating.example.com,4.2,96,https://www.google.com/maps/place/?q=place_id:DEMO0002,DEMOPLACE0002,"Commercial and domestic heating contractor. Boiler installation, power flushing and landlord certificates. Open 24 hours for emergencies.","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",info@granville-gas--heating.example.com,,no,no,boiler repair in Manchester,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Westerby Heating Services (Demo),Plumber,"123 Station Road, Salford",Salford,M50 8NT,Greater Manchester,0161 496 0002,https://www.westerby-heating-services.example.com,4.6,402,https://www.google.com/maps/place/?q=place_id:DEMO0003,DEMOPLACE0003,"Commercial and domestic heating contractor. Boiler installation, power flushing and landlord certificates.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,2,yes,no,emergency plumber in Salford,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Ashdown Heating & Gas (Demo),HVAC contractor,"80 Queens Road, Birmingham",Birmingham,B15 2WD,West Midlands,0121 496 0001,https://www.ashdown-heating--gas.example.com,4.6,17,https://www.google.com/maps/place/?q=place_id:DEMO0004,DEMOPLACE0004,Family-run plumbing and heating company covering Birmingham. Emergency callouts available.,"[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",info@ashdown-heating--gas.example.com,6,no,yes,plumbing and heating in Birmingham,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Pinnacle Row Boiler Care (Demo),Plumber,"235 High Street, Solihull",Solihull,B91 7JP,West Midlands,0121 496 0002,,4.5,56,https://www.google.com/maps/place/?q=place_id:DEMO0005,DEMOPLACE0005,"Emergency plumbers on call 24 hours a day, 7 days a week. Same-day response across Solihull.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,2,no,no,plumber in Solihull,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Yarrowfield Plumbing & Heating (Demo),Heating contractor,"22 Victoria Road, Leeds",Leeds,LS11 4PP,West Yorkshire,0113 496 0001,https://www.yarrowfield-plumbing--heating.example.com,4.4,8,https://www.google.com/maps/place/?q=place_id:DEMO0006,DEMOPLACE0006,24/7 emergency plumbing and heating callouts across Leeds. Gas Safe registered engineers.,"[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@yarrowfield-plumbing--heating.example.com,18,no,yes,heating engineer in Leeds,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Ironsgate Heating Solutions (Demo),Boiler supplier,"6 Mill Lane, Sheffield",Sheffield,S11 9XB,South Yorkshire,07700 900964,,4.7,138,https://www.google.com/maps/place/?q=place_id:DEMO0007,DEMOPLACE0007,"Drainage, plumbing and heating specialists serving Sheffield and the surrounding area.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,25,no,no,boiler repair in Sheffield,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Hollowmead Plumbing Group (Demo),Plumber,"50 Church Way, Nottingham",Nottingham,NG7 8YD,Nottinghamshire,0115 496 0001,,4.9,167,https://www.google.com/maps/place/?q=place_id:DEMO0008,DEMOPLACE0008,"Commercial and domestic heating contractor. Boiler installation, power flushing and landlord certificates.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,12,no,no,emergency plumber in Nottingham,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Stonebridge Gas & Heating (Demo),HVAC contractor,"93 Park Avenue, Leicester",Leicester,LE2 4LB,Leicestershire,0116 496 0001,,4.8,41,https://www.google.com/maps/place/?q=place_id:DEMO0009,DEMOPLACE0009,24/7 emergency plumbing and heating callouts across Leicester. Gas Safe registered engineers.,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",,6,no,no,plumbing and heating in Leicester,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
